0,0.09982222
50,0.100777775
100,0.09988889
150,0.09988889
200,0.1814
250,0.2212
300,0.24648888
350,0.26257777
400,0.26891112
450,0.28135556
500,0.2846889
550,0.29593334
600,0.3040889
650,0.31055555
700,0.31826666
750,0.32717776
800,0.33015555
850,0.33082223
900,0.3346
950,0.34242222
1000,0.34846666
1050,0.35293335
1100,0.3582
1150,0.35977778
1200,0.37377778
1250,0.37724444
1300,0.3831778
1350,0.38924444
1400,0.38466668
1450,0.38653332
1500,0.39224446
1550,0.40082222
1600,0.4102
1650,0.40815556
1700,0.4165778
1750,0.4201778
1800,0.42106667
1850,0.42184445
1900,0.4227111
1950,0.43217778
2000,0.42853335
2050,0.43737778
2100,0.4408222
2150,0.4389111
2200,0.44364443
2250,0.44104445
2300,0.44482222
2350,0.44822222
2400,0.44924444
2450,0.44968888
2500,0.45004445
2550,0.45084444
2600,0.4520889
2650,0.45746666
2700,0.4614889
2750,0.46593332
2800,0.46728888
2850,0.46155557
2900,0.45793334
2950,0.468
3000,0.4710889
3050,0.4784
3100,0.47608888
3150,0.48171112
3200,0.47953334
3250,0.4767778
3300,0.47948888
3350,0.4758
3400,0.48637778
3450,0.4773111
3500,0.48393333
3550,0.4937111
3600,0.4925778
3650,0.49726668
3700,0.49188888
3750,0.48675555
3800,0.49142224
3850,0.4993778
3900,0.49746665
3950,0.5037111
4000,0.50406665
4050,0.5016222
4100,0.5002889
4150,0.4927111
4200,0.50184447
4250,0.5101111
4300,0.5076889
4350,0.5082667
4400,0.5146889
4450,0.49482223
4500,0.5059111
4550,0.4988
4600,0.5104667
4650,0.52522224
4700,0.52022225
4750,0.51695555
4800,0.5167111
4850,0.5192
4900,0.5232222
4950,0.5256444
